id;name;ingredient_name;ingredient_id;producer_name;producer_id;image;favorite;EAN;bio;size_number;size_unit_code;yield_unit_code;yield_amount;;;;;;;;;;;;;;;;;;;
101;Basilikum gerebelt;Basilikum, getrocknet;25;Dennree;1;assets/images/products/dennree/582579.front.webp;0;;1;1;Pkg.;g;25;;;;;;;;;;;;;;;;;;;
102;Curry mild;Curry;77;Dennree;1;assets/images/products/dennree/582581.front.webp;0;;1;1;Pkg.;g;55;;;;;;;;;;;;;;;;;;;
103;Curry scharf;Curry;77;Dennree;1;assets/images/products/dennree/582592.front.webp;0;;1;1;Pkg.;g;55;;;;;;;;;;;;;;;;;;;
104;Dillspitzen gerebelt;Dill, getrocknet;81;Dennree;1;assets/images/products/dennree/573006.front.webp;0;;1;1;Pkg.;g;18;;;;;;;;;;;;;;;;;;;
105;Garam Masala Gewürz;Garam Massala;123;Dennree;1;assets/images/products/dennree/589847.front.webp;0;;1;1;Pkg.;g;45;;;;;;;;;;;;;;;;;;;
106;Knoblauch granuliert;Knoblauchpulver;195;Dennree;1;assets/images/products/dennree/582917.front.webp;0;;1;1;Pkg.;g;80;;;;;;;;;;;;;;;;;;;
107;Koriander ganz;Koriandersamen;208;Dennree;1;assets/images/products/dennree/573333.front.webp;0;;1;1;Pkg.;g;45;;;;;;;;;;;;;;;;;;;
108;Kräuter der Provence;Kräuter der Provence;210;Dennree;1;assets/images/products/dennree/573355.front.webp;0;;1;1;Pkg.;g;25;;;;;;;;;;;;;;;;;;;
109;Kräuter Italienischer Art;Italienische Kräuter;165;Dennree;1;assets/images/products/dennree/573344.front.webp;0;;1;1;Pkg.;g;35;;;;;;;;;;;;;;;;;;;
110;Kreuzkümmel gemahlen;Kreuzkümmel, gemahlen;214;Dennree;1;assets/images/products/dennree/593493.front.webp;0;;1;1;Pkg.;g;50;;;;;;;;;;;;;;;;;;;
111;Kümmel ganz;Kümmel;215;Dennree;1;assets/images/products/dennree/573322.front.webp;0;;1;1;Pkg.;g;60;;;;;;;;;;;;;;;;;;;
112;Kurkuma gemahlen;Kurkuma, gemahlen;222;Dennree;1;assets/images/products/dennree/582603.front.webp;0;;1;1;Pkg.;g;50;;;;;;;;;;;;;;;;;;;
113;Majoran gerebelt;Majoran;250;Dennree;1;assets/images/products/dennree/582614.front.webp;0;;1;1;Pkg.;g;15;;;;;;;;;;;;;;;;;;;
114;Muskatnuss gemahlen;Muskatnuss;274;Dennree;1;assets/images/products/dennree/573074.front.webp;0;;1;1;Pkg.;g;40;;;;;;;;;;;;;;;;;;;
115;Muskatnüsse ganz;Muskatnuss;274;Dennree;1;assets/images/products/dennree/573298.front.webp;0;;1;1;Pkg.;Stk;3;;;;;;;;;;;;;;;;;;;
116;Oregano gerebelt;Oregano, getrocknet;288;Dennree;1;assets/images/products/dennree/573287.front.webp;0;;1;1;Pkg.;g;15;;;;;;;;;;;;;;;;;;;
117;Paprika edelsüß, gemahlen;Paprika edelsüß;292;Dennree;1;assets/images/products/dennree/573276.front.webp;0;;1;1;Pkg.;g;70;;;;;;;;;;;;;;;;;;;
118;Paprika rosenscharf;Paprika rosenscharf;297;Dennree;1;assets/images/products/dennree/572973.front.webp;0;;1;1;Pkg.;g;70;;;;;;;;;;;;;;;;;;;
119;Petersilie gerebelt;Petersilie, getrocknet;304;Dennree;1;assets/images/products/dennree/589814.front.webp;0;;1;1;Pkg.;g;10;;;;;;;;;;;;;;;;;;;
120;Pfeffer bunt, ganz;Pfeffer;305;Dennree;1;assets/images/products/dennree/582647.front.webp;0;;1;1;Pkg.;g;65;;;;;;;;;;;;;;;;;;;
121;Pfeffer schwarz, ganz;Pfeffer;305;Dennree;1;assets/images/products/dennree/573254.front.webp;0;;1;1;Pkg.;g;65;;;;;;;;;;;;;;;;;;;
122;Pfeffer schwarz, gemahlen;Pfeffer;305;Dennree;1;assets/images/products/dennree/573243.front.webp;0;;1;1;Pkg.;g;65;;;;;;;;;;;;;;;;;;;
123;Rosmarin geschnitten;Rosmarin, getrocknet;351;Dennree;1;assets/images/products/dennree/573221.front.webp;0;;1;1;Pkg.;g;35;;;;;;;;;;;;;;;;;;;
124;Senfkörner gelb;Senfkörner;373;Dennree;1;assets/images/products/dennree/589858.front.webp;0;;1;1;Pkg.;g;100;;;;;;;;;;;;;;;;;;;
125;Zimt gemahlen;Zimt, gemahlen;462;Dennree;1;assets/images/products/dennree/582658.front.webp;0;;1;1;Pkg.;g;50;;;;;;;;;;;;;;;;;;;
126;Zimtstangen Ceylon;Zimtstangen;461;Dennree;1;assets/images/products/dennree/583086.front.webp;0;;1;1;Pkg.;Stk;4;;;;;;;;;;;;;;;;;;;
127;Blattspinat, in Portionen tiefgefroren;Spinat, gefroren;392;Dennree;1;assets/images/products/dennree/025277.front.webp;0;;1;1;Pkg.;g;750;;;;;;;;;;;;;;;;;;;
128;Brechbohnen, geschnitten und tiefgefroren;Brechbohnen, gefroren;42;Dennree;1;assets/images/products/dennree/021025.front.webp;0;;1;1;Pkg.;g;450;;;;;;;;;;;;;;;;;;;
129;Brokkoli, tiefgefroren;Brokkoli, gefroren;44;Dennree;1;assets/images/products/dennree/021385.front.webp;0;;1;1;Pkg.;g;400;;;;;;;;;;;;;;;;;;;
130;Erbsen, tiefgefroren;Erbsen grün, gefroren;103;Dennree;1;assets/images/products/dennree/021036.front.webp;0;;1;1;Pkg.;g;450;;;;;;;;;;;;;;;;;;;
131;Prinzessbohnen, tiefgefroren;Brechbohnen, gefroren;42;Dennree;1;assets/images/products/dennree/025301.front.webp;0;;1;1;Pkg.;g;750;;;;;;;;;;;;;;;;;;;
132;Junger Spinat, gefroren;Spinat, gefroren;392;Dennree;1;assets/images/products/dennree/021003.front.webp;0;;1;1;Pkg.;g;450;;;;;;;;;;;;;;;;;;;
133;Beerenmischung, tiefgefroren;Beeren, gefroren;28;Dennree;1;assets/images/products/dennree/025444.front.webp;0;;1;1;Pkg.;g;300;;;;;;;;;;;;;;;;;;;
134;Erdbeeren, tiefgefroren;Erdbeeren, gefroren;109;Dennree;1;assets/images/products/dennree/025468.front.webp;0;;1;1;Pkg.;g;300;;;;;;;;;;;;;;;;;;;
135;Heidelbeeren, tiefgefroren;Heidelbeeren, gefroren;158;Dennree;1;assets/images/products/dennree/025420.front.webp;0;;1;1;Pkg.;g;300;;;;;;;;;;;;;;;;;;;
136;Himbeeren, tiefgefroren;Himbeeren, gefroren;160;Dennree;1;assets/images/products/dennree/025406.front.webp;0;;1;1;Pkg.;g;300;;;;;;;;;;;;;;;;;;;
137;Sojasauce Shoyu;Shoyu;378;Dennree;1;assets/images/products/dennree/592007.front.webp;0;;1;1;Fl.;ml;250;;;;;;;;;;;;;;;;;;;
138;Tofu geräuchert;Räucher-Tofu;331;Dennree;1;assets/images/products/dennree/183982.front.webp;0;;1;1;Pkg.;g;350;;;;;;;;;;;;;;;;;;;
139;Tofu Natur;Natur-Tofu;276;Dennree;1;assets/images/products/dennree/183969.front.webp;0;;1;1;Pkg.;g;400;;;;;;;;;;;;;;;;;;;
140;Passierte Tomaten;Tomaten Passata;419;Dennree;1;assets/images/products/dennree/557291.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
141;Tomaten fein-stückig;Tomatenstücke;423;Dennree;1;assets/images/products/dennree/556378.front.webp;0;;1;1;Ds.;g;400;;;;;;;;;;;;;;;;;;;
142;Tomaten fein-stückig mit Basilikum;Tomatenstücke;423;Dennree;1;assets/images/products/dennree/556345.front.webp;0;;1;1;Ds.;g;400;;;;;;;;;;;;;;;;;;;
143;Tomaten ganz, geschält;Tomatenstücke;423;Dennree;1;assets/images/products/dennree/556367.front.webp;0;;1;1;Ds.;g;400;;;;;;;;;;;;;;;;;;;
144;Tomaten-Passata;Tomaten Passata;419;Dennree;1;assets/images/products/dennree/557493.front.webp;0;;1;1;Fl.;ml;660;;;;;;;;;;;;;;;;;;;
145;Tomaten-Passata Classica;Tomaten Passata;419;Dennree;1;assets/images/products/dennree/556356.front.webp;0;;1;1;Fl.;ml;680;;;;;;;;;;;;;;;;;;;
146;Tomatenmark im Glas, 1 kg;Tomatenmark;422;Dennree;1;assets/images/products/dennree/556323.front.webp;0;;1;1;Gl.;g;1000;;;;;;;;;;;;;;;;;;;
147;Tomatenmark im Glas, 200 g;Tomatenmark;422;Dennree;1;assets/images/products/dennree/556391.front.webp;0;;1;1;Gl.;g;200;;;;;;;;;;;;;;;;;;;
148;Tomatenmark in der Tube;Tomatenmark;422;Dennree;1;assets/images/products/dennree/556424.front.webp;0;;1;1;Tb.;g;150;;;;;;;;;;;;;;;;;;;
149;Tomaten, getrocknet;Tomaten, getrocknet;421;Dennree;1;assets/images/products/dennree/556446.front.webp;0;;1;1;Pkg.;g;100;;;;;;;;;;;;;;;;;;;
150;Amaranth;Amaranth;4;Davert;2;assets/images/products/davert/amaranth_500.webp;0;4019339190104;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
;Bulgur;Bulgur;53;Davert;2;assets/images/products/davert/bulgur_500.webp;0;4019339303108;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
151;Buchweizen;Buchweizen;48;Davert;2;assets/images/products/davert/buchweizen_1000.webp;0;;1;1;Pkg.;g;1000;;;;;;;;;;;;;;;;;;;
152;Buchweizen;Buchweizen;48;Davert;2;assets/images/products/davert/buchweizen_500.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
153;Dinkel;Dinkel;82;Davert;2;assets/images/products/davert/dinkel_1000.webp;0;;1;1;Pkg.;g;1000;;;;;;;;;;;;;;;;;;;
154;Gerste entspelzt;Gerste;126;Davert;2;assets/images/products/davert/gerste_1000.webp;0;;1;1;Pkg.;g;1000;;;;;;;;;;;;;;;;;;;
155;Goldhirse;Hirse;161;Davert;2;assets/images/products/davert/goldhirse_500.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
156;Grünkern;Grünkern;133;Davert;2;assets/images/products/davert/gruenkern_500.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
