﻿id;ingredient_id;unit_code;amount
316;206;TL;2
317;207;TL;2
318;208;TL;4
319;209;TL;1
320;210;TL;1
321;213;TL;2
322;214;TL;3
323;215;TL;2
324;220;TL;3
325;222;TL;2
326;225;TL;2
327;226;TL;5
328;230;TL;1
329;242;TL;5
330;251;TL;1
331;255;TL;6
332;256;TL;5,5
333;270;TL;6
334;274;TL;2
335;278;TL;2
336;280;TL;2
337;281;TL;6
338;285;TL;5
339;288;TL;1
340;289;TL;6
341;292;TL;2
342;294;TL;2
343;297;TL;2
344;304;TL;1
345;305;TL;2
346;306;TL;2
347;307;TL;2
348;314;TL;2
349;318;TL;6,5
350;329;TL;5
351;330;TL;2
352;333;TL;5
353;342;TL;3
354;351;TL;1
355;357;TL;2
356;359;TL;1
357;360;TL;2
358;361;TL;6
359;370;TL;6
360;371;TL;4
361;372;TL;2
362;373;TL;4
363;377;TL;6
364;378;TL;2
365;383;TL;7
366;384;TL;5
367;385;TL;6
368;390;TL;2
369;393;TL;3
370;402;TL;2
371;406;TL;2
372;407;TL;2
373;409;TL;2
374;413;TL;6
375;415;TL;1
376;424;TL;2
377;429;TL;2
378;435;TL;3
379;439;TL;2
380;440;TL;2
381;442;TL;2
382;451;TL;1,5
383;452;TL;3,5
384;462;TL;3
385;466;TL;1
386;470;TL;2
387;474;TL;3
388;61;Gl.;250
389;112;Gl.;250
390;154;Gl.;250
391;201;Gl.;250
392;255;Gl.;250
393;256;Gl.;250
394;281;Gl.;250
395;318;Gl.;250
396;118;Kn.;250
397;163;Kn.;25
398;176;Kn.;100
399;177;Kn.;100
400;178;Kn.;100
401;194;Kn.;60
402;196;Kn.;600
403;197;Kn.;400
404;198;Kn.;400
405;223;Kn.;15
406;339;Kn.;150
407;352;Kn.;150
408;403;Kn.;200
409;404;Kn.;200
410;425;Kn.;70
411;428;Kn.;30
412;445;Kn.;150
413;472;Kn.;120
414;473;Kn.;120
415;26;Kpf.;300
416;33;Kpf.;800
417;34;Kpf.;800
418;35;Kpf.;800
419;36;Kpf.;800
420;43;Kpf.;400
421;68;Kpf.;200
422;72;Kpf.;1200
423;73;Kpf.;800
424;95;Kpf.;1000
425;99;Kpf.;500
426;121;Kpf.;400
427;124;Kpf.;150
428;205;Kpf.;300
429;326;Kpf.;300
430;344;Kpf.;250
431;346;Kpf.;700
432;347;Kpf.;25
433;348;Kpf.;25
434;349;Kpf.;30
435;354;Kpf.;1200
436;394;Kpf.;1000
437;448;Kpf.;1200
438;460;Kpf.;1000
439;194;Zh.;5
440;266;Rüb.;80
441;267;Rüb.;80
442;268;Rüb.;80
443;269;Rüb.;80
444;301;Rüb.;100
445;336;Rüb.;300
446;40;Scht.;20
447;54;Scht.;7
448;55;Scht.;7
449;56;Scht.;7
450;57;Scht.;7
451;71;Scht.;8
452;166;Scht.;12
453;283;Scht.;10
454;224;Stg.;200
455;368;Stg.;100
456;388;Stg.;20
457;389;Stg.;25
458;400;Stg.;60
459;461;Stg.;8
460;464;Stg.;20
461;24;Stgl.;2
462;80;Stgl.;1
463;122;Stgl.;15
464;179;Stgl.;1
465;229;Stgl.;4
466;264;Stgl.;3
467;303;Stgl.;2
468;308;Stgl.;3
469;465;Stgl.;2
470;23;Bl.;2
471;31;Bl.;50
472;135;Bl.;50
473;136;Bl.;50
474;238;Bl.;0,5
475;239;Bl.;1
476;279;Bl.;2
477;335;Bl.;10
478;344;Bl.;15
479;367;Bl.;50
480;364;Hdv.;25
481;276;Blk.;200
482;369;Blk.;400
483;412;Blk.;200
484;223;Schb.;1
485;260;Schb.;8
486;444;Schb.;200
487;259;Wrf.;25
488;113;Zw.;2
489;250;Zw.;1
490;287;Zw.;1
491;350;Zw.;3
492;358;Zw.;2
493;414;Zw.;1
494;4;Krn.;0,0006
495;41;Krn.;0,002
496;48;Krn.;0,035
497;53;Krn.;0,035
498;75;Krn.;0,03
499;82;Krn.;0,04
500;94;Krn.;0,035
501;126;Krn.;0,045
502;133;Krn.;0,04
503;142;Krn.;0,035
504;161;Krn.;0,0025
505;174;Krn.;0,06
506;245;Krn.;0,3
507;246;Krn.;0,35
508;275;Krn.;0,02
509;321;Krn.;0,001
510;322;Krn.;0,001
511;323;Krn.;0,001
512;324;Krn.;0,001
513;332;Krn.;0,023
514;340;Krn.;0,04
515;410;Krn.;0,0003
516;434;Krn.;0,04
517;449;Krn.;0,04
518;100;Kps.;50
519;249;Kps.;60
520;290;Strk.;250
521;400;Stau.;500
522;4;Pkg.;500
523;13;Pkg.;500
524;16;Pkg.;500
525;29;Pkg.;500
526;37;Pkg.;300
527;42;Pkg.;450
528;44;Pkg.;300
529;48;Pkg.;500
530;53;Pkg.;500
531;58;Pkg.;500
532;65;Pkg.;500
533;75;Pkg.;500
534;82;Pkg.;1000
535;84;Pkg.;1000
536;93;Pkg.;300
537;101;Pkg.;500
538;102;Pkg.;500
539;103;Pkg.;450
540;126;Pkg.;1000
541;133;Pkg.;500
542;142;Pkg.;500
543;181;Pkg.;500
544;183;Pkg.;500
545;187;Pkg.;500
546;232;Pkg.;500
547;233;Pkg.;500
548;234;Pkg.;500
549;235;Pkg.;500
550;271;Pkg.;500
551;273;Pkg.;500
552;316;Pkg.;500
553;320;Pkg.;500
554;340;Pkg.;1000
555;365;Pkg.;500
556;369;Pkg.;400
557;379;Pkg.;500
558;383;Pkg.;500
559;422;Pkg.;200
560;434;Pkg.;1000
561;446;Pkg.;500
562;449;Pkg.;1000
563;1;Pkg.;500
564;23;Bd.;50
565;122;Bd.;100
566;267;Bd.;500
567;327;Bd.;300
568;364;Bd.;25
569;367;Bd.;500
570;419;Fl.;700
571;423;Fl.;650
