﻿id;name;recipe_category;picture;portion_number;portion_unit;cook_counter;favorite;bookmark;last cooked;last_updated;inspired_by;description;tip
104;Brokkoli-Lauch-Suppe;3;assets/images/recipes/brokkoli-lauch-suppe.webp;3;Port.;0;0;0;;;;;
105;Zucchini-Mais-Tomaten-Suppe;3;assets/images/recipes/zucchini-mais-tomaten-suppe.webp;3;Port.;0;0;0;;;;;
106;Amaranth-Linsen-Sellerie-Eintopf;3;assets/images/recipes/amaranth-linsen-sellerie-eintopf.webp;3;Port.;0;0;0;;;;;
107;Gemüse-Chili-Eintopf;3;assets/images/recipes/gemuese-chili-eintopf.webp;3;Port.;0;0;0;;;;;
108;Mais-Kichererbsen-Cremesuppe;3;assets/images/recipes/mais-kichererbsen-cremesuppe.webp;3;Port.;0;0;0;;;;;
109;Minestrone;3;assets/images/recipes/minestrone.webp;3;Port.;0;0;0;;;;;
110;Erbsen-Gemüse-Eintopf;3;assets/images/recipes/erbsen-gemuese-eintopf.webp;3;Port.;0;0;0;;;;;
111;Soljanka;3;assets/images/recipes/soljanka.webp;3;Port.;0;0;0;;;;;
112;Cheesy Brokkoli-Suppe;3;assets/images/recipes/cheesy_brokkoli-suppe.webp;3;Port.;0;0;0;;;;;
113;Süßkartoffel-Kidneybohnen-Erdnuss-Eintopf;3;assets/images/recipes/suesskartoffel-kidneybohnen-erdnuss-eintopf.webp;3;Port.;0;0;0;;;;;
114;Kürbis-Linsen-Eintopf;3;assets/images/recipes/kuerbis-linsen-eintopf.webp;3;Port.;0;0;0;;;;;
115;Three-Sisters;3;assets/images/recipes/three-sisters.webp;3;Port.;0;0;0;;;;;
116;Grünkohl-Süßkartoffel-Bohnen-Eintopf;3;assets/images/recipes/gruenkohl-suesskartoffel-bohnen-eintopf.webp;3;Port.;0;0;0;;;;;
117;rote Beete-Wirsing-Eintopf;3;assets/images/recipes/rote_beete-wirsing-eintopf.webp;3;Port.;0;0;0;;;;;
118;Sellerie-Apfel-Cremesuppe;3;assets/images/recipes/sellerie-apfel-cremesuppe.webp;3;Port.;0;0;0;;;https://youtu.be/AxuyU6X834A?si=aEkkvtfTcpXEycwk;;
119;Spinat-Edamame-Buchweizen-Eintopf;3;assets/images/recipes/spinat-edamame-buchweizen-eintopf.webp;3;Port.;0;0;0;;;;;
120;Wirsing-Erdnuss-Cremesuppe;3;assets/images/recipes/wirsing-erdnuss-cremesuppe.webp;3;Port.;0;0;0;;;;;
121;schwarze Bohnen-Eintopf mit Quinoa & Grünkohl;3;assets/images/recipes/schwarze_bohnen-eintopf_mit_quinoa_&_gruenkohl.webp;3;Port.;0;0;0;;;;;
122;Ribollita;3;assets/images/recipes/ribollita.webp;3;Port.;0;0;0;;;;;
123;rote Beete-Süßkartoffel-Grünkohl-Suppe;3;assets/images/recipes/rote_beete-suesskartoffel-gruenkohl-suppe.webp;3;Port.;0;0;0;;;;;
124;Wirsing-Sellerie-Tomaten-Eintopf;3;assets/images/recipes/wirsing-sellerie-tomaten-eintopf.webp;3;Port.;0;0;0;;;;;
125;Süßkartoffel-Schwarzkohl-Kidneybohnen-Eintopf;3;assets/images/recipes/suesskartoffel-schwarzkohl-kidneybohnen-eintopf.webp;3;Port.;0;0;0;;;;;
126;Grünkohl-Sellerie-Lauch-Suppe;3;assets/images/recipes/gruenkohl-sellerie-lauch-suppe.webp;3;Port.;0;0;0;;;;;
127;Linsen-Sellerie-Kartoffel-Eintopf;3;assets/images/recipes/linsen-sellerie-kartoffel-eintopf.webp;3;Port.;0;0;0;;;;;
128;Fenchel-Buchweizen-Suppe;3;assets/images/recipes/fenchel-buchweizen-suppe.webp;3;Port.;0;0;0;;;;;
129;drei Bohnen-Kurkuma-Spinat-Suppe;3;assets/images/recipes/drei_bohnen-kurkuma-spinat-suppe.webp;3;Port.;0;0;0;;;;;
130;Quinoa-Süßkartoffel-Eintopf;3;assets/images/recipes/quinoa-suesskartoffel-eintopf.webp;3;Port.;0;0;0;;;;;
131;Wirsing-Gerste-Pilz-Eintopf;3;assets/images/recipes/wirsing-gerste-pilz-eintopf.webp;3;Port.;0;0;0;;;;;
132;Rotkohl-Süßkartoffel-Suppe;3;assets/images/recipes/rotkohl-suesskartoffel-suppe.webp;3;Port.;0;0;0;;;;;
133;Grünkohl & weiße Bohnen Suppe;3;assets/images/recipes/gruenkohl_&_weisse_bohnen_suppe.webp;3;Port.;0;0;0;;;;;
134;Schwarze Bohnen-Pilz-Suppe mit Grünkohl;3;assets/images/recipes/schwarze_bohnen-pilz-suppe_mit_gruenkohl.webp;3;Port.;0;0;0;;;;;
135;rote Sellerie-Bohnen-Suppe;3;assets/images/recipes/rote_sellerie-bohnen-suppe.webp;3;Port.;0;0;0;;;;;
136;Süßkartoffel-Linsen-Eintopf;3;assets/images/recipes/suesskartoffel-linsen-eintopf.webp;3;Port.;0;0;0;;;;;
137;Tofu-Lachs mit Süßkartoffelstampf & Gemüse;4;assets/images/recipes/tofu-lachs_mit_suesskartoffelstampf_&_gemuese.webp;2;Port.;0;0;0;;;;;
138;Tempeh-Sticks mit weiße Bohnen-Dip;4;assets/images/recipes/tempeh-sticks_mit_weisse_bohnen-dip.webp;2;Port.;0;0;0;;;;;
