﻿id;recipe_id;ingredient_id;unit_code;amount
428;18;473;Kn.;3
429;18;194;Zh.;5
430;18;163;Stk;1
431;18;434;g;300
432;18;181;g;200
433;18;423;g;400
434;18;281;g;20
435;18;377;EL;1
436;18;8;EL;2
437;18;443;ml;400
440;18;123;TL;2
441;18;77;TL;1
442;18;223;TL;2
443;18;294;TL;2
444;18;69;TL;1
445;18;208;TL;1
446;18;305;TL;2
451;19;43;g;700
452;19;267;Rüb.;3
453;19;298;Stk;2
454;19;473;Kn.;2
455;19;194;Zh.;3
456;19;163;Stk;1
457;19;365;g;200
458;19;434;g;300
459;19;112;g;30
460;19;377;EL;1
461;19;8;EL;2
462;19;443;ml;30
465;19;77;TL;4
466;19;223;TL;2
467;19;294;TL;2
468;19;305;TL;1
469;19;62;TL;1
470;19;69;TL;1
471;19;288;TL;1
476;20;33;g;900
477;20;473;Kn.;2
478;20;194;Zh.;3
479;20;391;g;450
480;20;434;g;300
481;20;446;g;200
482;20;281;g;30
483;20;377;EL;1
484;20;8;EL;3
